rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
11,doi:10.3390/ai7040131,LLM-Based Control for Simulated Physical Reasoning: Modular Evaluation in the NeurIPS Embodied Agent Interface Challenge,2026,AI,https://doi.org/10.3390/ai7040131,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
12,doi:10.1109/icrca64997.2025.11011072,Research on Document Layout Detection and Description Method for Retrieval-Augmented Generation of Large Language Model,2025,"2025 9th International Conference on Robotics, Control and Automation (ICRCA)",https://doi.org/10.1109/icrca64997.2025.11011072,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.35314/3y9hy151,Implementation of Retrieval-Augmented Generation Method on Large Language Model for Development of Campus Service and Information Chatbot,2026,INOVTEK Polbeng - Seri Informatika,https://doi.org/10.35314/3y9hy151,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
14,doi:10.38124/ijisrt/26mar1756,Retrieval-Augmented Large Language Models for Robust Context-Aware Natural Language Understanding,2026,International Journal of Innovative Science and Research Technology,https://doi.org/10.38124/ijisrt/26mar1756,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
15,doi:10.2139/ssrn.6095088,SORT-AI: A Structural Safety and Reliability Framework for Advanced AI Systems with Retrieval-Augmented Generation as a Diagnostic Testbed,,,https://doi.org/10.2139/ssrn.6095088,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
16,doi:10.20944/preprints202512.1345.v1,SORT-AI: A Structural Safety and Reliability Framework for Advanced AI Systems with Retrieval-Augmented Generation as a Diagnostic Testbed,,,https://doi.org/10.20944/preprints202512.1345.v1,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
17,doi:10.1609/aaai.v38i16.29728,Benchmarking Large Language Models in Retrieval-Augmented Generation,2024,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v38i16.29728,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.1097/hep.0000000000000834,Development of a liver disease–specific large language model chat interface using retrieval-augmented generation,2024,Hepatology,https://doi.org/10.1097/hep.0000000000000834,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.15607/rss.2024.xx.075,RAG-Driver: Generalisable Driving Explanations with Retrieval-Augmented In-Context Multi-Modal Large Language Model Learning,2024,Robotics: Science and Systems XX,https://doi.org/10.15607/rss.2024.xx.075,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
20,arxiv:2310.15127v2,Open-Ended Instructable Embodied Agents with Memory-Augmented Large Language Models,2023,arXiv,http://arxiv.org/abs/2310.15127v2,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
21,doi:10.1609/aaai.v40i29.39677,Continuous Vision-Language-Action Co-Learning with Semantic-Physical Alignment for Behavioral Cloning,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i29.39677,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.54254/2755-2721/2025.ast27134,Integrating Motion Planning in Vision Language Action Agents,2025,Applied and Computational Engineering,https://doi.org/10.54254/2755-2721/2025.ast27134,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.56028/aetr.15.1.1423.2025,RT-2: Vision-Language-Action Models for Generalizable Robotic Control: A Comprehensive Review,2025,Advances in Engineering Technology Research,https://doi.org/10.56028/aetr.15.1.1423.2025,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
24,doi:10.3390/electronics13234643,Adaptive Control of Retrieval-Augmented Generation for Large Language Models Through Reflective Tags,2024,Electronics,https://doi.org/10.3390/electronics13234643,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
25,doi:10.7717/peerj-cs.3871,Retrieval-augmented few-shot large language models (LLMs) for financial sentiment classification on social media,2026,PeerJ Computer Science,https://doi.org/10.7717/peerj-cs.3871,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.3390/computers15040203,GraphRAG-Vet: A Knowledge Graph-Augmented Large Language Model for Precision Bovine Disease Diagnosis,2026,Computers,https://doi.org/10.3390/computers15040203,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
27,doi:10.1162/tacl_a_00605,In-Context Retrieval-Augmented Language Models,2023,Transactions of the Association for Computational Linguistics,https://doi.org/10.1162/tacl_a_00605,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
28,doi:10.54254/2753-8818/2026.dl34055,"Hallucination in Large Language Models and Retrieval-Augmented Generation: Mechanisms, Mitigation, and Evaluation",2026,Theoretical and Natural Science,https://doi.org/10.54254/2753-8818/2026.dl34055,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
29,doi:10.3390/app16094100,Retrieval-Augmented Few-Shot Malware Detection via Binary Visualization and Vision–Language Embeddings,2026,Applied Sciences,https://doi.org/10.3390/app16094100,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.1186/s10086-026-02257-w,Evaluating fine-tuning and retrieval-augmented generation for domain-specific language modeling in wood science,2026,Journal of Wood Science,https://doi.org/10.1186/s10086-026-02257-w,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.26483/ijarcs.v16i5.7341,A HYBRID RETRIEVAL-AUGMENTED GENERATION AND LANGUAGE MODEL FRAMEWORK FOR EVIDENCE-GROUNDED REVIEW SYSTEMS,2025,international journal of advanced research in computer science,https://doi.org/10.26483/ijarcs.v16i5.7341,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.3390/make8060151,BRAG: Bayesian Retrieval-Augmented Generation; A Methodological Framework for Evidence-Governed Decision Support,2026,Machine Learning and Knowledge Extraction,https://doi.org/10.3390/make8060151,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
33,doi:10.3390/sym16111470,Optimizing Microservice Deployment in Edge Computing with Large Language Models: Integrating Retrieval Augmented Generation and Chain of Thought Techniques,2024,Symmetry,https://doi.org/10.3390/sym16111470,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
34,doi:10.1609/aaai.v39i3.32342,LLaVA Needs More Knowledge: Retrieval Augmented Natural Language Generation with Knowledge Graph for Explaining Thoracic Pathologies,2025,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v39i3.32342,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
35,doi:10.64898/2026.05.27.26353695,"To RAG, or Not to RAG? A Comparative Evaluation of Retrieval-Augmented Generation for ICD Coding of German Tumor Diagnoses",,,https://doi.org/10.64898/2026.05.27.26353695,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
36,doi:10.18653/v1/2025.sdp-1.20,ExpertNeurons at SciVQA-2025: Retrieval Augmented VQA with Vision Language Model (RAVQA-VLM),2025,Proceedings of the Fifth Workshop on Scholarly Document Processing (SDP 2025),https://doi.org/10.18653/v1/2025.sdp-1.20,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
37,arxiv:2603.02688v1,Retrieval-Augmented Robots via Retrieve-Reason-Act,2026,arXiv,http://arxiv.org/abs/2603.02688v1,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
38,arxiv:2508.15201v2,Survey of Vision-Language-Action Models for Embodied Manipulation,2025,arXiv,http://arxiv.org/abs/2508.15201v2,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
39,doi:10.3390/app15179398,An Intelligent Docent System with a Small Large Language Model (sLLM) Based on Retrieval-Augmented Generation (RAG),2025,Applied Sciences,https://doi.org/10.3390/app15179398,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
40,doi:10.20944/preprints202502.1615.v1,PAI-NET: Retrieval Augmented Generation Patent Network using Prior Art Information,,,https://doi.org/10.20944/preprints202502.1615.v1,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
41,doi:10.62411/faith.3048-3719-297,"A Review on Retrieval-Augmented Generation: Architectures, Research Challenges, and Emerging Frontiers",2026,Journal of Future Artificial Intelligence and Technologies,https://doi.org/10.62411/faith.3048-3719-297,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
42,doi:10.71465/fair531,Retrieval-Augmented Graph Reasoning with Large Language Models for Explainable Incident Diagnosis,2025,Frontiers in Artificial Intelligence Research,https://doi.org/10.71465/fair531,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
43,arxiv:2405.11458v1,CPS-LLM: Large Language Model based Safe Usage Plan Generator for Human-in-the-Loop Human-in-the-Plant Cyber-Physical System,2024,arXiv,http://arxiv.org/abs/2405.11458v1,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
44,doi:10.18653/v1/2025.l2m2-1.10,Quantifying Memorization and Parametric Response Rates in Retrieval-Augmented Vision-Language Models,2025,Proceedings of the First Workshop on Large Language Model Memorization (L2M2),https://doi.org/10.18653/v1/2025.l2m2-1.10,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
45,doi:10.1109/raai67517.2025.11423031,Graph Your Way to Inspiration: Integrating Co-Author Graphs with Retrieval-Augmented Generation for Large Language Model Based Scientific Idea Generation,2025,"2025 5th International Conference on Robotics, Automation, and Artificial Intelligence (RAAI)",https://doi.org/10.1109/raai67517.2025.11423031,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
46,doi:10.1200/jco.2025.43.16_suppl.e13612,Implementing a retrieval-augmented generation-based large language model to guide oncologists in searching for FDA-approved therapies for patient treatment planning.,2025,Journal of Clinical Oncology,https://doi.org/10.1200/jco.2025.43.16_suppl.e13612,Addresses retrieval-augmented robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Embodied retrieval augmented control keeps action-critical alternatives explicit until a physical observation collapses them.
