method,split,regime,task,seed,episodes,success_rate,mechanism_precision,incompatible_retrieval_rate,damage_rate,recovery_success,query_cost,calibration_error
no_retrieval_controller,seen_corpus,friction_mismatch,drawer_pull_with_stiction,2,84,0.523810,0.307163,0.210052,0.098230,0.321954,0.071018,0.110733
no_retrieval_controller,seen_corpus,friction_mismatch,drawer_pull_with_stiction,3,84,0.500000,0.307963,0.210646,0.099138,0.322821,0.071735,0.111128
no_retrieval_controller,seen_corpus,friction_mismatch,drawer_pull_with_stiction,4,84,0.440476,0.308763,0.211240,0.100762,0.323688,0.072953,0.111522
no_retrieval_controller,seen_corpus,friction_mismatch,drawer_pull_with_stiction,5,84,0.428571,0.309563,0.211834,0.101432,0.324556,0.073503,0.111917
no_retrieval_controller,seen_corpus,friction_mismatch,drawer_pull_with_stiction,6,84,0.369048,0.310363,0.212428,0.103055,0.325423,0.074721,0.112312
no_retrieval_controller,seen_corpus,friction_mismatch,peg_insert_contact_search,0,84,0.416667,0.313715,0.215314,0.104739,0.304636,0.068718,0.115032
no_retrieval_controller,seen_corpus,friction_mismatch,peg_insert_contact_search,1,84,0.476190,0.314515,0.215908,0.103981,0.305504,0.068269,0.115426
no_retrieval_controller,seen_corpus,friction_mismatch,peg_insert_contact_search,2,84,0.440476,0.315315,0.216502,0.105128,0.306371,0.069153,0.115821
no_retrieval_controller,seen_corpus,friction_mismatch,peg_insert_contact_search,3,84,0.369048,0.300107,0.217096,0.106989,0.289229,0.070537,0.116216
no_retrieval_controller,seen_corpus,friction_mismatch,peg_insert_contact_search,4,84,0.380952,0.300907,0.217690,0.107184,0.290096,0.070754,0.116610
no_retrieval_controller,seen_corpus,friction_mismatch,peg_insert_contact_search,5,84,0.380952,0.301707,0.206278,0.106716,0.291444,0.071138,0.108785
no_retrieval_controller,seen_corpus,friction_mismatch,peg_insert_contact_search,6,84,0.369048,0.302507,0.206872,0.107386,0.292311,0.071689,0.109180
no_retrieval_controller,seen_corpus,friction_mismatch,cable_route_around_hook,0,84,0.333333,0.311259,0.214738,0.107667,0.338795,0.072033,0.109165
no_retrieval_controller,seen_corpus,friction_mismatch,cable_route_around_hook,1,84,0.357143,0.312043,0.215320,0.107614,0.339645,0.072075,0.109552
no_retrieval_controller,seen_corpus,friction_mismatch,cable_route_around_hook,2,84,0.404762,0.312827,0.215902,0.107085,0.340495,0.071785,0.109938
no_retrieval_controller,seen_corpus,friction_mismatch,cable_route_around_hook,3,84,0.404762,0.313611,0.216484,0.107509,0.341345,0.072161,0.110325
no_retrieval_controller,seen_corpus,friction_mismatch,cable_route_around_hook,4,84,0.511905,0.314395,0.217066,0.097786,0.324185,0.071037,0.110711
no_retrieval_controller,seen_corpus,friction_mismatch,cable_route_around_hook,5,84,0.369048,0.315179,0.217648,0.101067,0.325035,0.073413,0.111098
no_retrieval_controller,seen_corpus,friction_mismatch,cable_route_around_hook,6,84,0.357143,0.299955,0.206224,0.100828,0.326365,0.073955,0.111268
no_retrieval_controller,seen_corpus,friction_mismatch,cloth_slide_over_edge,0,84,0.416667,0.310099,0.215236,0.100189,0.334523,0.073934,0.112242
no_retrieval_controller,seen_corpus,friction_mismatch,cloth_slide_over_edge,1,84,0.404762,0.310867,0.215806,0.100842,0.335355,0.074469,0.112621
no_retrieval_controller,seen_corpus,friction_mismatch,cloth_slide_over_edge,2,84,0.464286,0.311635,0.216376,0.100067,0.336187,0.074003,0.112999
no_retrieval_controller,seen_corpus,friction_mismatch,cloth_slide_over_edge,3,84,0.357143,0.312403,0.216946,0.102624,0.319010,0.075871,0.113377
no_retrieval_controller,seen_corpus,friction_mismatch,cloth_slide_over_edge,4,84,0.416667,0.313171,0.217516,0.101848,0.319842,0.075406,0.113755
no_retrieval_controller,seen_corpus,friction_mismatch,cloth_slide_over_edge,5,84,0.404762,0.313939,0.206080,0.101601,0.321155,0.075941,0.113917
no_retrieval_controller,seen_corpus,friction_mismatch,cloth_slide_over_edge,6,84,0.392857,0.314707,0.206650,0.102254,0.321987,0.076475,0.114296
no_retrieval_controller,seen_corpus,friction_mismatch,twist_lid_with_force_limit,0,84,0.392857,0.306251,0.208888,0.107349,0.290254,0.071115,0.108976
no_retrieval_controller,seen_corpus,friction_mismatch,twist_lid_with_force_limit,1,84,0.369048,0.307059,0.209488,0.100259,0.291130,0.071837,0.109375
no_retrieval_controller,seen_corpus,friction_mismatch,twist_lid_with_force_limit,2,84,0.404762,0.307867,0.210088,0.099981,0.292006,0.071725,0.109774
no_retrieval_controller,seen_corpus,friction_mismatch,twist_lid_with_force_limit,3,84,0.440476,0.308675,0.210688,0.099704,0.292882,0.071613,0.110172
no_retrieval_controller,seen_corpus,friction_mismatch,twist_lid_with_force_limit,4,84,0.476190,0.309483,0.211288,0.099427,0.293758,0.071501,0.110571
no_retrieval_controller,seen_corpus,friction_mismatch,twist_lid_with_force_limit,5,84,0.523810,0.310291,0.211888,0.098911,0.294634,0.071222,0.110970
no_retrieval_controller,seen_corpus,friction_mismatch,twist_lid_with_force_limit,6,84,0.392857,0.311099,0.212488,0.101967,0.295510,0.073443,0.111369
no_retrieval_controller,seen_corpus,support_topology_shift,drawer_pull_with_stiction,0,84,0.488095,0.306246,0.213754,0.104458,0.317624,0.072241,0.111648
no_retrieval_controller,seen_corpus,support_topology_shift,drawer_pull_with_stiction,1,84,0.357143,0.307086,0.214378,0.107532,0.318535,0.074478,0.112063
no_retrieval_controller,seen_corpus,support_topology_shift,drawer_pull_with_stiction,2,84,0.404762,0.307926,0.215002,0.107034,0.319446,0.074216,0.112478
no_retrieval_controller,seen_corpus,support_topology_shift,drawer_pull_with_stiction,3,84,0.428571,0.308766,0.215626,0.107013,0.320357,0.074286,0.112893
no_retrieval_controller,seen_corpus,support_topology_shift,drawer_pull_with_stiction,4,84,0.440476,0.309606,0.216250,0.107229,0.321268,0.074524,0.113309
no_retrieval_controller,seen_corpus,support_topology_shift,drawer_pull_with_stiction,5,84,0.440476,0.310446,0.216874,0.107684,0.322179,0.074928,0.113724
no_retrieval_controller,seen_corpus,support_topology_shift,drawer_pull_with_stiction,6,84,0.488095,0.311286,0.217498,0.107186,0.323090,0.074665,0.114139
no_retrieval_controller,seen_corpus,support_topology_shift,peg_insert_contact_search,0,84,0.392857,0.296150,0.218524,0.110348,0.299588,0.077426,0.115585
no_retrieval_controller,seen_corpus,support_topology_shift,peg_insert_contact_search,1,84,0.500000,0.296990,0.219148,0.108660,0.300499,0.076330,0.116001
no_retrieval_controller,seen_corpus,support_topology_shift,peg_insert_contact_search,2,84,0.273810,0.297830,0.219772,0.113639,0.301410,0.071897,0.116416
no_retrieval_controller,seen_corpus,support_topology_shift,peg_insert_contact_search,3,84,0.309524,0.298670,0.220396,0.105375,0.302321,0.071801,0.116831
no_retrieval_controller,seen_corpus,support_topology_shift,peg_insert_contact_search,4,84,0.369048,0.299510,0.221020,0.104640,0.303232,0.071372,0.117246
no_retrieval_controller,seen_corpus,support_topology_shift,peg_insert_contact_search,5,84,0.428571,0.300350,0.221644,0.103904,0.304143,0.070942,0.117662
no_retrieval_controller,seen_corpus,support_topology_shift,peg_insert_contact_search,6,84,0.511905,0.301190,0.222268,0.102692,0.287045,0.070180,0.110073
no_retrieval_controller,seen_corpus,support_topology_shift,cable_route_around_hook,0,84,0.380952,0.301262,0.211618,0.107152,0.324505,0.075521,0.113389
no_retrieval_controller,seen_corpus,support_topology_shift,cable_route_around_hook,1,84,0.380952,0.302086,0.212230,0.107598,0.325399,0.075917,0.113796
no_retrieval_controller,seen_corpus,support_topology_shift,cable_route_around_hook,2,84,0.440476,0.302910,0.212842,0.106854,0.326292,0.075480,0.114203
no_retrieval_controller,seen_corpus,support_topology_shift,cable_route_around_hook,3,84,0.440476,0.303734,0.213454,0.107300,0.327186,0.075876,0.114610
no_retrieval_controller,seen_corpus,support_topology_shift,cable_route_around_hook,4,84,0.416667,0.304558,0.214066,0.108222,0.328079,0.076605,0.115017
no_retrieval_controller,seen_corpus,support_topology_shift,cable_route_around_hook,5,84,0.416667,0.305382,0.214678,0.108668,0.328973,0.077001,0.115424
no_retrieval_controller,seen_corpus,support_topology_shift,cable_route_around_hook,6,84,0.511905,0.306206,0.215290,0.107209,0.329866,0.076064,0.115831
no_retrieval_controller,seen_corpus,support_topology_shift,cloth_slide_over_edge,0,84,0.345238,0.306990,0.217282,0.105887,0.327775,0.074529,0.111999
no_retrieval_controller,seen_corpus,support_topology_shift,cloth_slide_over_edge,1,84,0.392857,0.307798,0.217882,0.105372,0.328651,0.074250,0.112398
no_retrieval_controller,seen_corpus,support_topology_shift,cloth_slide_over_edge,2,84,0.404762,0.308606,0.218482,0.105571,0.329527,0.074472,0.112797
no_retrieval_controller,seen_corpus,support_topology_shift,cloth_slide_over_edge,3,84,0.511905,0.309414,0.219082,0.103865,0.330403,0.073360,0.113195
no_retrieval_controller,seen_corpus,support_topology_shift,cloth_slide_over_edge,4,84,0.392857,0.310222,0.219682,0.106683,0.331279,0.075414,0.113594
no_retrieval_controller,seen_corpus,support_topology_shift,cloth_slide_over_edge,5,84,0.416667,0.311030,0.220282,0.106644,0.332155,0.075469,0.113993
no_retrieval_controller,seen_corpus,support_topology_shift,cloth_slide_over_edge,6,84,0.440476,0.311838,0.220882,0.106605,0.333031,0.075524,0.114392
no_retrieval_controller,seen_corpus,support_topology_shift,twist_lid_with_force_limit,0,84,0.500000,0.310214,0.216238,0.105406,0.291250,0.072746,0.112364
no_retrieval_controller,seen_corpus,support_topology_shift,twist_lid_with_force_limit,1,84,0.476190,0.311062,0.216868,0.106341,0.292170,0.073488,0.112784
no_retrieval_controller,seen_corpus,support_topology_shift,twist_lid_with_force_limit,2,84,0.440476,0.311910,0.217498,0.107515,0.293090,0.074396,0.113203
no_retrieval_controller,seen_corpus,support_topology_shift,twist_lid_with_force_limit,3,84,0.416667,0.296750,0.218128,0.108450,0.294010,0.075137,0.113622
no_retrieval_controller,seen_corpus,support_topology_shift,twist_lid_with_force_limit,4,84,0.440476,0.297598,0.218758,0.108433,0.294930,0.075212,0.114042
no_retrieval_controller,seen_corpus,support_topology_shift,twist_lid_with_force_limit,5,84,0.476190,0.298446,0.219388,0.108178,0.295849,0.075120,0.114461
no_retrieval_controller,seen_corpus,support_topology_shift,twist_lid_with_force_limit,6,84,0.464286,0.299294,0.220018,0.108876,0.296769,0.075694,0.114880
no_retrieval_controller,seen_corpus,compliance_shift,drawer_pull_with_stiction,0,84,0.452381,0.305688,0.220261,0.107184,0.323832,0.077363,0.116449
no_retrieval_controller,seen_corpus,compliance_shift,drawer_pull_with_stiction,1,84,0.404762,0.306480,0.220849,0.108564,0.324690,0.078409,0.116839
no_retrieval_controller,seen_corpus,compliance_shift,drawer_pull_with_stiction,2,84,0.476190,0.307272,0.221437,0.107564,0.325549,0.069785,0.117230
no_retrieval_controller,seen_corpus,compliance_shift,drawer_pull_with_stiction,3,84,0.535714,0.308064,0.222025,0.106802,0.326407,0.069332,0.117620
no_retrieval_controller,seen_corpus,compliance_shift,drawer_pull_with_stiction,4,84,0.428571,0.308856,0.222613,0.109373,0.327265,0.071212,0.118011
no_retrieval_controller,seen_corpus,compliance_shift,drawer_pull_with_stiction,5,84,0.369048,0.309648,0.223201,0.110991,0.328124,0.072425,0.118402
no_retrieval_controller,seen_corpus,compliance_shift,drawer_pull_with_stiction,6,84,0.380952,0.310440,0.223789,0.111181,0.310973,0.072639,0.110788
no_retrieval_controller,seen_corpus,compliance_shift,peg_insert_contact_search,0,84,0.464286,0.298280,0.215041,0.103522,0.291210,0.074388,0.113547
no_retrieval_controller,seen_corpus,compliance_shift,peg_insert_contact_search,1,84,0.404762,0.299072,0.215629,0.105141,0.292069,0.075601,0.113937
no_retrieval_controller,seen_corpus,compliance_shift,peg_insert_contact_search,2,84,0.476190,0.299864,0.216217,0.104140,0.292927,0.074981,0.114328
no_retrieval_controller,seen_corpus,compliance_shift,peg_insert_contact_search,3,84,0.428571,0.300656,0.216805,0.105521,0.293786,0.076028,0.114718
no_retrieval_controller,seen_corpus,compliance_shift,peg_insert_contact_search,4,84,0.380952,0.301448,0.217393,0.106901,0.294644,0.077075,0.115109
no_retrieval_controller,seen_corpus,compliance_shift,peg_insert_contact_search,5,84,0.404762,0.302240,0.217981,0.106853,0.295503,0.077121,0.115500
no_retrieval_controller,seen_corpus,compliance_shift,peg_insert_contact_search,6,84,0.345238,0.303032,0.218569,0.108472,0.296361,0.078335,0.115890
no_retrieval_controller,seen_corpus,compliance_shift,cable_route_around_hook,0,84,0.321429,0.297512,0.215731,0.108579,0.327218,0.079380,0.116551
no_retrieval_controller,seen_corpus,compliance_shift,cable_route_around_hook,1,84,0.559524,0.298288,0.216307,0.104237,0.328059,0.068415,0.116934
no_retrieval_controller,seen_corpus,compliance_shift,cable_route_around_hook,2,84,0.392857,0.299064,0.216883,0.107989,0.328900,0.071120,0.117316
no_retrieval_controller,seen_corpus,compliance_shift,cable_route_around_hook,3,84,0.392857,0.299840,0.217459,0.108408,0.329741,0.071492,0.117698
no_retrieval_controller,seen_corpus,compliance_shift,cable_route_around_hook,4,84,0.428571,0.300616,0.218035,0.108113,0.330582,0.071364,0.118081
no_retrieval_controller,seen_corpus,compliance_shift,cable_route_around_hook,5,84,0.392857,0.301392,0.218611,0.109247,0.331423,0.072236,0.118463
no_retrieval_controller,seen_corpus,compliance_shift,cable_route_around_hook,6,84,0.333333,0.302168,0.219187,0.110856,0.332264,0.073441,0.110841
no_retrieval_controller,seen_corpus,compliance_shift,cloth_slide_over_edge,0,84,0.416667,0.298176,0.217597,0.109882,0.324942,0.074023,0.112561
no_retrieval_controller,seen_corpus,compliance_shift,cloth_slide_over_edge,1,84,0.369048,0.298936,0.218161,0.111245,0.325766,0.075053,0.112935
no_retrieval_controller,seen_corpus,compliance_shift,cloth_slide_over_edge,2,84,0.392857,0.299696,0.218725,0.111179,0.326589,0.075084,0.113309
no_retrieval_controller,seen_corpus,compliance_shift,cloth_slide_over_edge,3,84,0.345238,0.300456,0.219289,0.112542,0.327412,0.076115,0.113683
no_retrieval_controller,seen_corpus,compliance_shift,cloth_slide_over_edge,4,84,0.404762,0.301216,0.219853,0.103758,0.328236,0.075645,0.114057
no_retrieval_controller,seen_corpus,compliance_shift,cloth_slide_over_edge,5,84,0.500000,0.301976,0.220417,0.102263,0.329059,0.074676,0.114432
no_retrieval_controller,seen_corpus,compliance_shift,cloth_slide_over_edge,6,84,0.464286,0.302736,0.220981,0.103388,0.329883,0.075540,0.114806
no_retrieval_controller,seen_corpus,compliance_shift,twist_lid_with_force_limit,0,84,0.500000,0.305720,0.219793,0.105228,0.293148,0.075400,0.115144
no_retrieval_controller,seen_corpus,compliance_shift,twist_lid_with_force_limit,1,84,0.440476,0.306520,0.220387,0.106852,0.294016,0.076617,0.115539
no_retrieval_controller,seen_corpus,compliance_shift,twist_lid_with_force_limit,2,84,0.440476,0.307320,0.220981,0.107284,0.294883,0.077001,0.115934
no_retrieval_controller,seen_corpus,compliance_shift,twist_lid_with_force_limit,3,84,0.297619,0.308120,0.221575,0.110574,0.295750,0.079385,0.116328
no_retrieval_controller,seen_corpus,compliance_shift,twist_lid_with_force_limit,4,84,0.380952,0.308920,0.222169,0.109340,0.296617,0.078603,0.116723
no_retrieval_controller,seen_corpus,compliance_shift,twist_lid_with_force_limit,5,84,0.392857,0.309720,0.222763,0.109534,0.297484,0.070816,0.117118
no_retrieval_controller,seen_corpus,compliance_shift,twist_lid_with_force_limit,6,84,0.488095,0.310520,0.223357,0.108062,0.298352,0.069867,0.117512
no_retrieval_controller,seen_corpus,occluded_contact_shift,drawer_pull_with_stiction,0,84,0.440476,0.298382,0.218053,0.108832,0.312256,0.074240,0.113213
no_retrieval_controller,seen_corpus,occluded_contact_shift,drawer_pull_with_stiction,1,84,0.488095,0.299222,0.218677,0.108335,0.313167,0.073977,0.113628
no_retrieval_controller,seen_corpus,occluded_contact_shift,drawer_pull_with_stiction,2,84,0.440476,0.300062,0.219301,0.109742,0.314078,0.075048,0.114043
no_retrieval_controller,seen_corpus,occluded_contact_shift,drawer_pull_with_stiction,3,84,0.357143,0.300902,0.219925,0.111863,0.314989,0.076618,0.114459
no_retrieval_controller,seen_corpus,occluded_contact_shift,drawer_pull_with_stiction,4,84,0.488095,0.301742,0.220549,0.109699,0.315900,0.075189,0.114874
no_retrieval_controller,seen_corpus,occluded_contact_shift,drawer_pull_with_stiction,5,84,0.464286,0.302582,0.221173,0.110630,0.316811,0.075926,0.115289
no_retrieval_controller,seen_corpus,occluded_contact_shift,drawer_pull_with_stiction,6,84,0.452381,0.303422,0.221797,0.111323,0.317722,0.076497,0.115704
no_retrieval_controller,seen_corpus,occluded_contact_shift,peg_insert_contact_search,0,84,0.357143,0.304294,0.222823,0.114485,0.294220,0.079258,0.117151
no_retrieval_controller,seen_corpus,occluded_contact_shift,peg_insert_contact_search,1,84,0.476190,0.305134,0.223447,0.112559,0.295131,0.077996,0.117566
no_retrieval_controller,seen_corpus,occluded_contact_shift,peg_insert_contact_search,2,84,0.380952,0.305974,0.224071,0.114918,0.296042,0.071729,0.117981
no_retrieval_controller,seen_corpus,occluded_contact_shift,peg_insert_contact_search,3,84,0.464286,0.306814,0.224695,0.113706,0.296953,0.070966,0.118397
no_retrieval_controller,seen_corpus,occluded_contact_shift,peg_insert_contact_search,4,84,0.428571,0.307654,0.225319,0.106871,0.297864,0.071870,0.118812
no_retrieval_controller,seen_corpus,occluded_contact_shift,peg_insert_contact_search,5,84,0.333333,0.292486,0.225943,0.109231,0.298775,0.073608,0.119227
no_retrieval_controller,seen_corpus,occluded_contact_shift,peg_insert_contact_search,6,84,0.380952,0.293326,0.226567,0.108733,0.299686,0.073345,0.119642
no_retrieval_controller,seen_corpus,occluded_contact_shift,cable_route_around_hook,0,84,0.380952,0.293398,0.227923,0.111475,0.336666,0.076853,0.115171
no_retrieval_controller,seen_corpus,occluded_contact_shift,cable_route_around_hook,1,84,0.452381,0.294222,0.228535,0.110492,0.319551,0.076249,0.115578
no_retrieval_controller,seen_corpus,occluded_contact_shift,cable_route_around_hook,2,84,0.345238,0.295046,0.229147,0.113081,0.320444,0.078145,0.115985
no_retrieval_controller,seen_corpus,occluded_contact_shift,cable_route_around_hook,3,84,0.261905,0.295870,0.217753,0.114293,0.321818,0.079708,0.116176
no_retrieval_controller,seen_corpus,occluded_contact_shift,cable_route_around_hook,4,84,0.285714,0.296694,0.218365,0.114263,0.322711,0.079770,0.116583
no_retrieval_controller,seen_corpus,occluded_contact_shift,cable_route_around_hook,5,84,0.333333,0.297518,0.218977,0.113757,0.323605,0.079500,0.116990
no_retrieval_controller,seen_corpus,occluded_contact_shift,cable_route_around_hook,6,84,0.369048,0.298342,0.219589,0.113488,0.324498,0.079396,0.117397
no_retrieval_controller,seen_corpus,occluded_contact_shift,cloth_slide_over_edge,0,84,0.321429,0.299126,0.221581,0.109786,0.322407,0.076194,0.113564
no_retrieval_controller,seen_corpus,occluded_contact_shift,cloth_slide_over_edge,1,84,0.321429,0.299934,0.222181,0.110223,0.323283,0.076582,0.113963
no_retrieval_controller,seen_corpus,occluded_contact_shift,cloth_slide_over_edge,2,84,0.476190,0.300742,0.222781,0.107565,0.324159,0.074804,0.114362
no_retrieval_controller,seen_corpus,occluded_contact_shift,cloth_slide_over_edge,3,84,0.452381,0.301550,0.223381,0.108478,0.325035,0.075525,0.114761
no_retrieval_controller,seen_corpus,occluded_contact_shift,cloth_slide_over_edge,4,84,0.321429,0.302358,0.223981,0.111534,0.325911,0.077746,0.115160
no_retrieval_controller,seen_corpus,occluded_contact_shift,cloth_slide_over_edge,5,84,0.428571,0.303166,0.224581,0.109828,0.326787,0.076634,0.115558
no_retrieval_controller,seen_corpus,occluded_contact_shift,cloth_slide_over_edge,6,84,0.357143,0.303974,0.225181,0.111694,0.327663,0.078022,0.115957
no_retrieval_controller,seen_corpus,occluded_contact_shift,twist_lid_with_force_limit,0,84,0.452381,0.302350,0.220537,0.109781,0.285883,0.074745,0.113930
no_retrieval_controller,seen_corpus,occluded_contact_shift,twist_lid_with_force_limit,1,84,0.369048,0.303198,0.221167,0.111907,0.286802,0.076320,0.114349
no_retrieval_controller,seen_corpus,occluded_contact_shift,twist_lid_with_force_limit,2,84,0.404762,0.304046,0.221797,0.111652,0.287722,0.076228,0.114768
no_retrieval_controller,seen_corpus,occluded_contact_shift,twist_lid_with_force_limit,3,84,0.392857,0.304894,0.222427,0.112349,0.288642,0.076802,0.115188
no_retrieval_controller,seen_corpus,occluded_contact_shift,twist_lid_with_force_limit,4,84,0.404762,0.305742,0.223057,0.112570,0.289562,0.077044,0.115607
no_retrieval_controller,seen_corpus,occluded_contact_shift,twist_lid_with_force_limit,5,84,0.392857,0.306590,0.223687,0.113267,0.290482,0.077618,0.116026
no_retrieval_controller,seen_corpus,occluded_contact_shift,twist_lid_with_force_limit,6,84,0.333333,0.307438,0.224317,0.114917,0.291401,0.078860,0.116446
no_retrieval_controller,seen_corpus,actuator_lag_shift,drawer_pull_with_stiction,0,84,0.416667,0.295013,0.222506,0.115103,0.313032,0.073303,0.120121
no_retrieval_controller,seen_corpus,actuator_lag_shift,drawer_pull_with_stiction,1,84,0.369048,0.295821,0.223106,0.116492,0.313908,0.074358,0.120520
no_retrieval_controller,seen_corpus,actuator_lag_shift,drawer_pull_with_stiction,2,84,0.500000,0.296629,0.223706,0.114310,0.314784,0.072913,0.112915
no_retrieval_controller,seen_corpus,actuator_lag_shift,drawer_pull_with_stiction,3,84,0.357143,0.297437,0.224306,0.109600,0.315660,0.075301,0.113314
no_retrieval_controller,seen_corpus,actuator_lag_shift,drawer_pull_with_stiction,4,84,0.440476,0.298245,0.224906,0.108370,0.316536,0.074522,0.113712
no_retrieval_controller,seen_corpus,actuator_lag_shift,drawer_pull_with_stiction,5,84,0.380952,0.299053,0.225506,0.109998,0.317412,0.075743,0.114111
no_retrieval_controller,seen_corpus,actuator_lag_shift,drawer_pull_with_stiction,6,84,0.416667,0.299861,0.226106,0.109721,0.318288,0.075631,0.114510
no_retrieval_controller,seen_corpus,actuator_lag_shift,peg_insert_contact_search,0,84,0.380952,0.302717,0.228620,0.112795,0.296958,0.078551,0.116975
